Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Austria,AUT,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.61849029,,,,,,,,,,10.09582852,10.13316997,9.954947574,10.0859158,10.47681671,6.850541085,,,,
Azerbaijan,AZE,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.08691247,7.188573951,15.30364253,14.16634058,7.254171344,3.21041989,2.406320263,2.372753558,2.303944221,1.915955055,1.228573071,1.465614924,1.418013586,1.197900463,2.394629176,2.805051572,4.049801653,7.179874697,7.290028319,8.3331237,12.65599197,16.24115319,16.19919016,11.10183397,8.478782172,2.234760919,,,,
Burundi,BDI,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.874935754,4.204254004,1.553443302,1.898302772,2.019364359,2.640132955,2.027653292,4.152928662,2.676456698,2.801189034,1.98756449,1.717334839,2.56605952,1.04594017,1.436465835,1.161968068,1.570029215,,,,,,,,,,,,,
Belgium,BEL,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.880488295,4.048872833,3.85826613,3.815443615,3.779964956,3.41959992,,3.806016414,3.43357261,3.291088207,3.364689246,3.407676784,3.494492252,2.495242521,2.324173187,2.304391939,2.285973394,2.375964179,1.774839022,,,,
Benin,BEN,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.18763353,10.40711239,11.53421159,15.77208897,14.6120668,16.40857689,15.67559435,15.095914,15.38957299,13.94742759,12.75470071,15.28059536,14.44267377,9.053829772,9.002109166,12.07830376,9.272816829,7.729362941,5.02321952,5.40838377,4.044275467,4.827523821,4.548266929,6.718673299,,,,,
Burkina Faso,BFA,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.434050959,8.230097263,8.226009232,8.300933412,9.363854083,5.55280134,4.116018416,3.891915229,6.329419061,5.696966478,5.517391198,5.25608554,4.609819685,3.967777796,3.872264597,,,,,
Bangladesh,BGD,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.856932865,0.744172998,0.833568741,0.777142605,,,,0.451680314,0.475652503,0.359391214,0.380558123,0.414095692,0.465858684,0.429806121,0.56899835,0.88842516,0.809009438,0.869641803,0.566327448,,,,
Bulgaria,BGR,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.769198985,8.647421758,10.72769904,19.22656313,20.43220055,19.4862686,17.41229815,18.45575246,20.46012158,20.05546654,18.95627838,16.26719104,15.89852061,15.93630647,18.36670725,15.04511757,12.62668188,12.16930488,12.25675483,12.10798133,11.01352861,12.04163829,11.70000319,11.63597805,10.9738397,4.48780092,,,,
Bahrain,BHR,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.36032944,10.97171072,11.51345517,15.64476244,15.03340351,11.90057716,13.41128142,14.16035296,15.11152812,14.55005814,11.96543166,11.40319984,10.7078738,9.076186897,11.92629975,12.09709951,7.696326947,5.578011482,5.498062031,5.965234699,11.02018558,16.90761678,16.38751791,12.79747173,12.84105286,2.819279604,,,,
"Bahamas, The",BHS,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.70984896,76.10045909,75.58663065,71.99746822,72.39286038,71.90260949,74.95610678,71.38086178,71.33673761,69.70318276,68.00572287,65.8041419,64.62398163,61.75233534,66.14324766,67.5530224,64.83031859,63.4761775,63.565971,65.64109974,74.76501263,79.6401911,78.4280042,79.04232343,80.36659771,59.64150169,,,,
